Overall_power,GPS_power,Wifi_power,Cellular_power,GPS_accuracy,Wifi_accuracy,Cellular_accuracy,GPS_strength,Wifi_strength,Cellular_strength,Battery_percentage,Frequency,Target
1.01E+03,6.03E+01,5.32E+01,2.60E+01,1.02E+01,2.30E+01,4.85E+01,-5.10E+01,-5.99E+01,-6.88E+01,9.34E+01,2,1
1.01E+03,6.03E+01,5.32E+01,2.60E+01,1.02E+01,2.30E+01,4.85E+01,-5.10E+01,-5.99E+01,-6.88E+01,9.34E+01,2,1
2.43E+03,1.86E+01,3.49E+01,2.32E+01,2.16E+01,2.06E+01,3.63E+01,-4.70E+01,-5.70E+01,-5.11E+01,8.20E+01,4,1
2.43E+03,1.86E+01,3.49E+01,2.32E+01,2.16E+01,2.06E+01,3.63E+01,-4.70E+01,-5.70E+01,-5.11E+01,8.20E+01,4,1
2.35E+03,6.31E+01,1.40E+01,3.26E+01,1.05E+01,2.02E+01,3.98E+01,-3.56E+01,-5.66E+01,-6.41E+01,5.52E+01,4,0
2.35E+03,6.31E+01,1.40E+01,3.26E+01,1.05E+01,2.02E+01,3.98E+01,-3.56E+01,-5.66E+01,-6.41E+01,5.52E+01,4,0
1.24E+03,5.11E+01,4.40E+01,1.62E+01,2.27E+01,2.05E+01,3.51E+01,-5.69E+01,-5.36E+01,-7.42E+01,8.26E+01,2,1
1.24E+03,5.11E+01,4.40E+01,1.62E+01,2.27E+01,2.05E+01,3.51E+01,-5.69E+01,-5.36E+01,-7.42E+01,8.26E+01,2,1
1.68E+03,2.38E+01,2.21E+01,2.07E+01,1.09E+01,3.87E+01,4.87E+01,-4.30E+01,-6.89E+01,-6.46E+01,3.15E+00,5,3
1.68E+03,2.38E+01,2.21E+01,2.07E+01,1.09E+01,3.87E+01,4.87E+01,-4.30E+01,-6.89E+01,-6.46E+01,3.15E+00,5,3
1.16E+03,7.60E+01,1.85E+01,1.00E+01,1.33E+01,2.72E+01,4.64E+01,-6.38E+01,-4.82E+01,-7.18E+01,3.23E+01,4,2
1.16E+03,7.60E+01,1.85E+01,1.00E+01,1.33E+01,2.72E+01,4.64E+01,-6.38E+01,-4.82E+01,-7.18E+01,3.23E+01,4,2
1.24E+03,4.49E+01,2.81E+01,1.73E+01,1.98E+01,2.70E+01,3.06E+01,-4.30E+01,-5.18E+01,-4.82E+01,5.76E+01,1,0
1.24E+03,4.49E+01,2.81E+01,1.73E+01,1.98E+01,2.70E+01,3.06E+01,-4.30E+01,-5.18E+01,-4.82E+01,5.76E+01,1,0
7.14E+02,3.34E+01,3.02E+01,2.23E+01,2.11E+01,2.82E+01,4.76E+01,-6.28E+01,-7.38E+01,-6.82E+01,1.66E+01,3,3
7.14E+02,3.34E+01,3.02E+01,2.23E+01,2.11E+01,2.82E+01,4.76E+01,-6.28E+01,-7.38E+01,-6.82E+01,1.66E+01,3,3
2.09E+03,5.04E+01,3.45E+01,4.66E+00,1.82E+01,2.47E+01,3.15E+01,-4.61E+01,-6.48E+01,-5.83E+01,1.20E+01,3,3
2.09E+03,5.04E+01,3.45E+01,4.66E+00,1.82E+01,2.47E+01,3.15E+01,-4.61E+01,-6.48E+01,-5.83E+01,1.20E+01,3,3
8.88E+01,2.69E+01,2.80E+01,2.11E+01,2.60E+01,3.26E+01,4.20E+01,-4.55E+01,-5.24E+01,-7.39E+01,5.66E+01,4,0
8.88E+01,2.69E+01,2.80E+01,2.11E+01,2.60E+01,3.26E+01,4.20E+01,-4.55E+01,-5.24E+01,-7.39E+01,5.66E+01,4,0
1.58E+03,2.37E+01,3.07E+01,1.94E+01,1.43E+01,2.60E+01,4.04E+01,-5.82E+01,-7.03E+01,-7.16E+01,3.38E+01,1,2
1.58E+03,2.37E+01,3.07E+01,1.94E+01,1.43E+01,2.60E+01,4.04E+01,-5.82E+01,-7.03E+01,-7.16E+01,3.38E+01,1,2
9.33E+02,8.63E+01,4.00E+01,2.27E+01,1.18E+01,2.57E+01,3.58E+01,-6.65E+01,-8.15E+01,-6.26E+01,1.37E+01,3,3
9.33E+02,8.63E+01,4.00E+01,2.27E+01,1.18E+01,2.57E+01,3.58E+01,-6.65E+01,-8.15E+01,-6.26E+01,1.37E+01,3,3
1.54E+03,5.75E+01,3.54E+01,1.89E+01,1.63E+01,2.25E+01,3.83E+01,-5.29E+01,-5.41E+01,-7.27E+01,2.77E+01,2,2
1.54E+03,5.75E+01,3.54E+01,1.89E+01,1.63E+01,2.25E+01,3.83E+01,-5.29E+01,-5.41E+01,-7.27E+01,2.77E+01,2,2
9.58E+02,4.13E+01,2.56E+01,1.51E+01,1.94E+01,3.69E+01,4.34E+01,-5.54E+01,-4.91E+01,-7.19E+01,3.14E+01,2,2
9.58E+02,4.13E+01,2.56E+01,1.51E+01,1.94E+01,3.69E+01,4.34E+01,-5.54E+01,-4.91E+01,-7.19E+01,3.14E+01,2,2
1.66E+03,2.47E+01,4.53E+01,1.14E+01,1.89E+01,2.30E+01,3.73E+01,-5.46E+01,-7.45E+01,-8.18E+01,6.93E+01,5,0
1.66E+03,2.47E+01,4.53E+01,1.14E+01,1.89E+01,2.30E+01,3.73E+01,-5.46E+01,-7.45E+01,-8.18E+01,6.93E+01,5,0
1.36E+03,7.68E+01,4.19E+01,2.72E+01,1.86E+01,3.92E+01,3.37E+01,-5.10E+01,-7.30E+01,-8.02E+01,2.52E+01,3,2
1.36E+03,7.68E+01,4.19E+01,2.72E+01,1.86E+01,3.92E+01,3.37E+01,-5.10E+01,-7.30E+01,-8.02E+01,2.52E+01,3,2
6.21E+02,7.96E+01,4.26E+01,2.29E+01,2.94E+01,3.83E+01,4.80E+01,-4.09E+01,-6.43E+01,-6.64E+01,8.71E+01,2,1
6.21E+02,7.96E+01,4.26E+01,2.29E+01,2.94E+01,3.83E+01,4.80E+01,-4.09E+01,-6.43E+01,-6.64E+01,8.71E+01,2,1
9.72E+02,7.32E+01,2.16E+01,1.63E+01,2.69E+01,3.77E+01,3.52E+01,-4.59E+01,-5.63E+01,-5.64E+01,7.91E+01,4,1
9.72E+02,7.32E+01,2.16E+01,1.63E+01,2.69E+01,3.77E+01,3.52E+01,-4.59E+01,-5.63E+01,-5.64E+01,7.91E+01,4,1
1.13E+03,8.67E+01,3.48E+01,1.62E+01,1.86E+01,3.45E+01,3.76E+01,-6.95E+01,-6.72E+01,-6.68E+01,9.72E+01,2,1
1.13E+03,8.67E+01,3.48E+01,1.62E+01,1.86E+01,3.45E+01,3.76E+01,-6.95E+01,-6.72E+01,-6.68E+01,9.72E+01,2,1
3.96E+02,2.31E+01,3.01E+01,2.15E+01,2.05E+01,2.51E+01,4.48E+01,-5.31E+01,-6.87E+01,-4.91E+01,2.04E+01,2,3
3.96E+02,2.31E+01,3.01E+01,2.15E+01,2.05E+01,2.51E+01,4.48E+01,-5.31E+01,-6.87E+01,-4.91E+01,2.04E+01,2,3
2.77E+02,4.12E+01,4.14E+01,1.12E+01,2.65E+01,2.04E+01,4.13E+01,-5.48E+01,-5.93E+01,-7.88E+01,3.43E+01,5,2
2.77E+02,4.12E+01,4.14E+01,1.12E+01,2.65E+01,2.04E+01,4.13E+01,-5.48E+01,-5.93E+01,-7.88E+01,3.43E+01,5,2
7.06E+02,1.54E+01,1.94E+01,1.60E+01,1.24E+01,2.62E+01,3.66E+01,-6.54E+01,-7.09E+01,-7.34E+01,4.76E+01,3,0
7.06E+02,1.54E+01,1.94E+01,1.60E+01,1.24E+01,2.62E+01,3.66E+01,-6.54E+01,-7.09E+01,-7.34E+01,4.76E+01,3,0
1021.975714,8.08E+01,6.55E+01,1.55E+01,1.60E+01,2.81E+01,3.04E+01,-6.09E+01,-5.43E+01,-7.73E+01,9.93E+01,3,1
1021.975714,8.08E+01,6.55E+01,1.55E+01,1.60E+01,2.81E+01,3.04E+01,-6.09E+01,-5.43E+01,-7.73E+01,9.93E+01,3,1
9.74E+02,5.23E+01,3.93E+01,2.35E+01,1.30E+01,2.86E+01,3.18E+01,-4.09E+01,-5.94E+01,-7.11E+01,2.39E+01,5,3
9.74E+02,5.23E+01,3.93E+01,2.35E+01,1.30E+01,2.86E+01,3.18E+01,-4.09E+01,-5.94E+01,-7.11E+01,2.39E+01,5,3
9.44E+02,3.20E+01,2.87E+01,1.71E+01,1.80E+01,2.97E+01,3.68E+01,-5.92E+01,-4.62E+01,-7.01E+01,4.94E+01,2,0
9.44E+02,3.20E+01,2.87E+01,1.71E+01,1.80E+01,2.97E+01,3.68E+01,-5.92E+01,-4.62E+01,-7.01E+01,4.94E+01,2,0
5.68E+02,4.69E+01,3.07E+01,2.49E+01,2.12E+01,3.35E+01,4.36E+01,-4.93E+01,-6.15E+01,-7.04E+01,9.26E+01,3,1
5.68E+02,4.69E+01,3.07E+01,2.49E+01,2.12E+01,3.35E+01,4.36E+01,-4.93E+01,-6.15E+01,-7.04E+01,9.26E+01,3,1
4.32E+02,4.26E+01,3.58E+01,1.88E+01,1.90E+01,3.18E+01,4.41E+01,-4.05E+01,-6.90E+01,-6.99E+01,8.98E+01,4,1
4.32E+02,4.26E+01,3.58E+01,1.88E+01,1.90E+01,3.18E+01,4.41E+01,-4.05E+01,-6.90E+01,-6.99E+01,8.98E+01,4,1
1.24E+03,4.23E+01,3.95E+01,2.42E+01,2.16E+01,2.57E+01,3.45E+01,-5.17E+01,-5.31E+01,-6.87E+01,4.87E+01,1,0
1.24E+03,4.23E+01,3.95E+01,2.42E+01,2.16E+01,2.57E+01,3.45E+01,-5.17E+01,-5.31E+01,-6.87E+01,4.87E+01,1,0
1.06E+03,5.33E+01,2.77E+01,1.68E+01,2.71E+01,2.60E+01,4.76E+01,-6.30E+01,-5.09E+01,-8.04E+01,9.22E+01,5,1
1.06E+03,5.33E+01,2.77E+01,1.68E+01,2.71E+01,2.60E+01,4.76E+01,-6.30E+01,-5.09E+01,-8.04E+01,9.22E+01,5,1
8.06E+02,6.14E+01,1.88E+01,1.83E+01,1.27E+01,2.34E+01,3.07E+01,-4.31E+01,-5.83E+01,-7.72E+01,9.91E+01,1,1
8.06E+02,6.14E+01,1.88E+01,1.83E+01,1.27E+01,2.34E+01,3.07E+01,-4.31E+01,-5.83E+01,-7.72E+01,9.91E+01,1,1
5.29E+02,3.93E+01,2.73E+01,1.72E+01,1.36E+01,2.14E+01,4.90E+01,-4.33E+01,-6.72E+01,-8.57E+01,4.68E+01,2,0
5.29E+02,3.93E+01,2.73E+01,1.72E+01,1.36E+01,2.14E+01,4.90E+01,-4.33E+01,-6.72E+01,-8.57E+01,4.68E+01,2,0
1.02E+03,4.56E+01,3.76E+01,9.71E+00,1.42E+01,3.28E+01,3.51E+01,-3.84E+01,-5.49E+01,-5.90E+01,7.74E+00,1,3
1.02E+03,4.56E+01,3.76E+01,9.71E+00,1.42E+01,3.28E+01,3.51E+01,-3.84E+01,-5.49E+01,-5.90E+01,7.74E+00,1,3
3.24E+02,4.49E+01,3.33E+01,1.30E+01,2.45E+01,3.66E+01,4.20E+01,-3.93E+01,-4.62E+01,-6.01E+01,5.21E+00,3,3
3.24E+02,4.49E+01,3.33E+01,1.30E+01,2.45E+01,3.66E+01,4.20E+01,-3.93E+01,-4.62E+01,-6.01E+01,5.21E+00,3,3
1.30E+03,6.38E+01,3.52E+01,2.13E+01,2.13E+01,3.59E+01,4.68E+01,-4.50E+01,-5.07E+01,-7.82E+01,6.63E+01,3,0
1.30E+03,6.38E+01,3.52E+01,2.13E+01,2.13E+01,3.59E+01,4.68E+01,-4.50E+01,-5.07E+01,-7.82E+01,6.63E+01,3,0
1.18E+03,3.36E+01,3.03E+01,1.16E+01,1.54E+01,3.99E+01,4.37E+01,-2.05E+01,-5.72E+01,-5.53E+01,5.84E+01,5,0
1.18E+03,3.36E+01,3.03E+01,1.16E+01,1.54E+01,3.99E+01,4.37E+01,-2.05E+01,-5.72E+01,-5.53E+01,5.84E+01,5,0
6.65E+02,6.23E+01,3.33E+01,1.99E+01,2.96E+01,3.99E+01,4.58E+01,-4.86E+01,-5.17E+01,-5.25E+01,9.36E+01,2,1
6.65E+02,6.23E+01,3.33E+01,1.99E+01,2.96E+01,3.99E+01,4.58E+01,-4.86E+01,-5.17E+01,-5.25E+01,9.36E+01,2,1
1.51E+03,3.26E+01,3.22E+01,1.53E+01,1.27E+01,3.64E+01,3.96E+01,-5.69E+01,-5.81E+01,-8.18E+01,3.08E+01,4,2
1.51E+03,3.26E+01,3.22E+01,1.53E+01,1.27E+01,3.64E+01,3.96E+01,-5.69E+01,-5.81E+01,-8.18E+01,3.08E+01,4,2
1.69E+03,3.71E+01,2.44E+01,1.88E+01,2.04E+01,2.94E+01,3.69E+01,-5.90E+01,-4.20E+01,-7.42E+01,6.34E+01,2,0
1.69E+03,3.71E+01,2.44E+01,1.88E+01,2.04E+01,2.94E+01,3.69E+01,-5.90E+01,-4.20E+01,-7.42E+01,6.34E+01,2,0
1.29E+03,5.68E+01,1.99E+01,1.52E+01,1.34E+01,3.69E+01,4.98E+01,-2.47E+01,-5.47E+01,-6.51E+01,7.24E+01,2,1
1.29E+03,5.68E+01,1.99E+01,1.52E+01,1.34E+01,3.69E+01,4.98E+01,-2.47E+01,-5.47E+01,-6.51E+01,7.24E+01,2,1
7.36E+02,3.01E+01,4.81E+01,2.08E+01,1.45E+01,3.33E+01,4.18E+01,-7.39E+01,-7.63E+01,-5.82E+01,1.88E-01,2,3
7.36E+02,3.01E+01,4.81E+01,2.08E+01,1.45E+01,3.33E+01,4.18E+01,-7.39E+01,-7.63E+01,-5.82E+01,1.88E-01,2,3
1.50E+03,2.81E+01,1.83E+01,2.33E+01,1.04E+01,3.11E+01,3.04E+01,-4.83E+01,-6.45E+01,-5.41E+01,1.69E+01,2,3
1.50E+03,2.81E+01,1.83E+01,2.33E+01,1.04E+01,3.11E+01,3.04E+01,-4.83E+01,-6.45E+01,-5.41E+01,1.69E+01,2,3
1.12E+02,1.54E+01,3.00E+01,1.97E+01,2.72E+01,3.53E+01,4.79E+01,-5.26E+01,-6.66E+01,-7.75E+01,9.97E+01,5,1
1.12E+02,1.54E+01,3.00E+01,1.97E+01,2.72E+01,3.53E+01,4.79E+01,-5.26E+01,-6.66E+01,-7.75E+01,9.97E+01,5,1
1.33E+03,5.90E+01,1.18E+01,1.65E+01,2.02E+01,3.80E+01,3.53E+01,-5.43E+01,-4.24E+01,-6.88E+01,8.40E+01,2,1
1.33E+03,5.90E+01,1.18E+01,1.65E+01,2.02E+01,3.80E+01,3.53E+01,-5.43E+01,-4.24E+01,-6.88E+01,8.40E+01,2,1
9.19E+02,6.61E+01,2.44E+01,2.86E+01,2.30E+01,2.08E+01,4.78E+01,-5.99E+01,-6.77E+01,-7.93E+01,3.43E+01,3,2
9.19E+02,6.61E+01,2.44E+01,2.86E+01,2.30E+01,2.08E+01,4.78E+01,-5.99E+01,-6.77E+01,-7.93E+01,3.43E+01,3,2
1186.278723,5.17E+01,3.10E+01,1.58E+01,1.98E+01,3.66E+01,3.80E+01,-4.17E+01,-4.53E+01,-6.49E+01,9.69E+01,4,1
1186.278723,5.17E+01,3.10E+01,1.58E+01,1.98E+01,3.66E+01,3.80E+01,-4.17E+01,-4.53E+01,-6.49E+01,9.69E+01,4,1
6.22E+02,7.23E+01,1.57E+01,2.40E+01,1.92E+01,3.75E+01,3.22E+01,-5.02E+01,-4.27E+01,-6.02E+01,2.61E+01,4,2
6.22E+02,7.23E+01,1.57E+01,2.40E+01,1.92E+01,3.75E+01,3.22E+01,-5.02E+01,-4.27E+01,-6.02E+01,2.61E+01,4,2
5.92E+02,5.15E+01,1.92E+01,2.05E+01,1.25E+01,3.50E+01,4.82E+01,-5.19E+01,-7.67E+01,-6.15E+01,4.13E+01,3,2
5.92E+02,5.15E+01,1.92E+01,2.05E+01,1.25E+01,3.50E+01,4.82E+01,-5.19E+01,-7.67E+01,-6.15E+01,4.13E+01,3,2
2.13E+03,4.49E+01,9.16E+00,1.16E+01,2.11E+01,3.37E+01,4.37E+01,-4.92E+01,-6.46E+01,-8.32E+01,2.56E+01,2,2
2.13E+03,4.49E+01,9.16E+00,1.16E+01,2.11E+01,3.37E+01,4.37E+01,-4.92E+01,-6.46E+01,-8.32E+01,2.56E+01,2,2
1.15E+03,5.94E+01,1.81E+01,1.40E+01,2.02E+01,2.18E+01,4.03E+01,-5.19E+01,-4.95E+01,-7.06E+01,3.56E+01,4,2
1.15E+03,5.94E+01,1.81E+01,1.40E+01,2.02E+01,2.18E+01,4.03E+01,-5.19E+01,-4.95E+01,-7.06E+01,3.56E+01,4,2
4.87E+02,7.06E+01,2.73E+01,2.92E+01,1.37E+01,3.89E+01,3.61E+01,-5.09E+01,-5.56E+01,-8.22E+01,6.49E+01,2,0
4.87E+02,7.06E+01,2.73E+01,2.92E+01,1.37E+01,3.89E+01,3.61E+01,-5.09E+01,-5.56E+01,-8.22E+01,6.49E+01,2,0
8.45E+02,6.91E+01,2.54E+01,1.39E+01,2.18E+01,3.88E+01,3.75E+01,-6.20E+01,-4.38E+01,-5.97E+01,8.69E+01,2,1
8.45E+02,6.91E+01,2.54E+01,1.39E+01,2.18E+01,3.88E+01,3.75E+01,-6.20E+01,-4.38E+01,-5.97E+01,8.69E+01,2,1
1.24E+03,6.46E+01,4.57E+01,1.53E+01,1.12E+01,3.56E+01,3.01E+01,-3.64E+01,-5.72E+01,-6.45E+01,8.20E+01,1,1
1.24E+03,6.46E+01,4.57E+01,1.53E+01,1.12E+01,3.56E+01,3.01E+01,-3.64E+01,-5.72E+01,-6.45E+01,8.20E+01,1,1
1.50E+02,4.17E+01,2.94E+01,1.88E+01,2.57E+01,3.07E+01,3.23E+01,-3.76E+01,-4.90E+01,-7.02E+01,1.49E-01,4,3
1.50E+02,4.17E+01,2.94E+01,1.88E+01,2.57E+01,3.07E+01,3.23E+01,-3.76E+01,-4.90E+01,-7.02E+01,1.49E-01,4,3
1.06E+03,5.46E+01,5.32E+00,2.02E+01,2.10E+01,3.63E+01,4.57E+01,-4.95E+01,-6.26E+01,-6.57E+01,9.33E+01,2,1
1.06E+03,5.46E+01,5.32E+00,2.02E+01,2.10E+01,3.63E+01,4.57E+01,-4.95E+01,-6.26E+01,-6.57E+01,9.33E+01,2,1
1.06E+03,6.89E+01,2.44E+01,1.98E+01,2.79E+01,3.98E+01,4.17E+01,-3.31E+01,-6.32E+01,-6.23E+01,2.07E+01,2,3
1.06E+03,6.89E+01,2.44E+01,1.98E+01,2.79E+01,3.98E+01,4.17E+01,-3.31E+01,-6.32E+01,-6.23E+01,2.07E+01,2,3
9.27E+02,8.53E+01,2.20E+01,2.45E+01,2.32E+01,3.39E+01,3.97E+01,-5.40E+01,-7.50E+01,-6.76E+01,3.41E+01,2,2
9.27E+02,8.53E+01,2.20E+01,2.45E+01,2.32E+01,3.39E+01,3.97E+01,-5.40E+01,-7.50E+01,-6.76E+01,3.41E+01,2,2
3.06E+02,4.79E+01,2.61E+01,1.45E+01,2.84E+01,2.75E+01,3.08E+01,-6.43E+01,-5.75E+01,-8.27E+01,8.97E+01,2,1
3.06E+02,4.79E+01,2.61E+01,1.45E+01,2.84E+01,2.75E+01,3.08E+01,-6.43E+01,-5.75E+01,-8.27E+01,8.97E+01,2,1
988.4195854,4.52E+01,2.76E+01,1.74E+01,2.14E+01,2.92E+01,3.69E+01,-4.85E+01,-5.93E+01,-9.02E+01,3.08E+01,1,2
988.4195854,4.52E+01,2.76E+01,1.74E+01,2.14E+01,2.92E+01,3.69E+01,-4.85E+01,-5.93E+01,-9.02E+01,3.08E+01,1,2
1.30E+03,8.13E+01,2.91E+01,1.50E+01,1.65E+01,2.24E+01,4.99E+01,-5.35E+01,-5.41E+01,-5.09E+01,4.10E+01,3,2
1.30E+03,8.13E+01,2.91E+01,1.50E+01,1.65E+01,2.24E+01,4.99E+01,-5.35E+01,-5.41E+01,-5.09E+01,4.10E+01,3,2
7.30E+02,7.57E+01,3.57E+01,1.62E+01,1.62E+01,2.87E+01,4.35E+01,-5.16E+01,-5.82E+01,-7.74E+01,5.91E+01,3,0
7.30E+02,7.57E+01,3.57E+01,1.62E+01,1.62E+01,2.87E+01,4.35E+01,-5.16E+01,-5.82E+01,-7.74E+01,5.91E+01,3,0
